127.0.0.1 - - [14/Mar/2022:09:28:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:28:59 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:28:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:29:35 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:31:55 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:32:12 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 500 3137
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:34:05 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:38:46 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:43:37 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:43:57 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:44:00 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:44:03 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:52:24 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [14/Mar/2022:09:52:45 +0530] "GET /JSPDemoApp/demo.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:04:32 +0530] "GET /JSPDemoApp/login.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:04:45 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:04:48 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:04:54 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:17:34 +0530] "GET /JSPDemoApp/login.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:17:46 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:17:54 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:18:26 +0530] "GET /JSPDemoApp/login.jsp HTTP/1.1" 200 397
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:18:33 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:30:58 +0530] "GET /JSPDemoApp/check.jsp HTTP/1.1" 500 2454
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:31:02 +0530] "GET /JSPDemoApp/check.jsp HTTP/1.1" 500 2454
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:31:17 +0530] "GET /JSPDemoApp/login.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:31:28 +0530] "POST /JSPDemoApp/check.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:43:56 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:00 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:07 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:09 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:13 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:15 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:10:44:18 +0530] "GET /JSPDemoApp/sessionDemo.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Mar/2022:11:40:58 +0530] "GET /JSPDemoApp/first.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [14/Mar/2022:11:41:34 +0530] "GET /JSPDemoApp/first.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [14/Mar/2022:11:41:36 +0530] "GET /JSPDemoApp/first.jsp HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [14/Mar/2022:11:41:38 +0530] "GET /JSPDemoApp/first.jsp HTTP/1.1" 200 330
